name,time,Sensor1,Sensor5
Sensor_board_1,1685658434095446000,53787,6706
Sensor_board_1,1685658434145498000,7884,33123
Sensor_board_1,1685658434166450000,9263,13865
Sensor_board_1,1685658434186518000,50983,51206
Sensor_board_1,1685658434206540000,16749,40802
Sensor_board_1,1685658434228390000,53805,16745
Sensor_board_1,1685658434250475000,63913,46599
Sensor_board_1,1685658434273456000,24425,48411
Sensor_board_1,1685658434295632000,55315,14439
Sensor_board_1,1685658434318555000,8196,57147
Sensor_board_1,1685658434340519000,57104,819
Sensor_board_1,1685658434365874000,61833,10553
Sensor_board_1,1685658434389610000,14579,22802
Sensor_board_1,1685658434413537000,36054,65121
Sensor_board_1,1685658434435830000,33575,32332
Sensor_board_1,1685658434458607000,367,9771
Sensor_board_1,1685658434480543000,23640,26138
Sensor_board_1,1685658434502943000,53213,34166
Sensor_board_1,1685658434525763000,49797,20521
Sensor_board_1,1685658434548466000,63113,28983
Sensor_board_1,1685658434571908000,65423,41564
Sensor_board_1,1685658434595769000,9493,12568
Sensor_board_1,1685658434618647000,35686,58235
Sensor_board_1,1685658434640509000,65330,59140
Sensor_board_1,1685658434662439000,63518,39508
Sensor_board_1,1685658434684604000,9117,40227
Sensor_board_1,1685658434707630000,13248,29530
Sensor_board_1,1685658434728597000,3164,13161
Sensor_board_1,1685658434749595000,25540,36934
Sensor_board_1,1685658434770577000,29251,55306
Sensor_board_1,1685658434790595000,5794,52534
Sensor_board_1,1685658434810527000,15407,42769
Sensor_board_1,1685658434830556000,38125,42564
Sensor_board_1,1685658434850624000,62081,53268
Sensor_board_1,1685658434872429000,41234,31493
Sensor_board_1,1685658434893668000,23142,59257
Sensor_board_1,1685658434915780000,45507,62572
Sensor_board_1,1685658434937448000,39132,30278
Sensor_board_1,1685658434960521000,1274,1606
Sensor_board_1,1685658434980564000,40868,62283
Sensor_board_1,1685658435002448000,46918,9228
Sensor_board_1,1685658435023570000,54344,15906
Sensor_board_1,1685658435044607000,55144,22604
Sensor_board_1,1685658435066455000,21946,25939
Sensor_board_1,1685658435088461000,31191,41814
Sensor_board_1,1685658435108721000,8217,63525
Sensor_board_1,1685658435129509000,15536,15380
Sensor_board_1,1685658435150667000,372,42334
Sensor_board_1,1685658435170388000,26453,52287
Sensor_board_1,1685658435190423000,9745,56134
Sensor_board_1,1685658435213518000,56065,47167
Sensor_board_1,1685658435237595000,43018,25895
Sensor_board_1,1685658435259466000,499,55890
Sensor_board_1,1685658435281403000,51439,33813
Sensor_board_1,1685658435301336000,55798,14649
Sensor_board_1,1685658435323356000,518,33587
Sensor_board_1,1685658435344300000,10966,2385
Sensor_board_1,1685658435364498000,31556,63019
Sensor_board_1,1685658435385493000,46835,12897
Sensor_board_1,1685658435405404000,15212,19248
Sensor_board_1,1685658435425456000,39164,39261
Sensor_board_1,1685658435446367000,48708,18501
Sensor_board_1,1685658435468309000,47309,57869
Sensor_board_1,1685658435500544000,42058,47690
Sensor_board_1,1685658435521348000,45742,25367
Sensor_board_1,1685658435548108000,10379,62994
Sensor_board_1,1685658435570299000,19667,22354
Sensor_board_1,1685658435593449000,6774,51203
Sensor_board_1,1685658435614248000,4477,14120
Sensor_board_1,1685658435634469000,21171,5182
Sensor_board_1,1685658435658635000,19194,50554
Sensor_board_1,1685658435678380000,31665,53030
Sensor_board_1,1685658435697572000,10760,22855
Sensor_board_1,1685658435720392000,29967,12905
Sensor_board_1,1685658435740469000,50932,8530
Sensor_board_1,1685658435765423000,4295,25184
Sensor_board_1,1685658435783332000,3073,49519
Sensor_board_1,1685658435801345000,13214,37409
Sensor_board_1,1685658435821572000,36548,38985
Sensor_board_1,1685658435840281000,58353,21067
Sensor_board_1,1685658435859357000,41796,57981
Sensor_board_1,1685658435879418000,53027,6200
Sensor_board_1,1685658435900491000,56338,42264
Sensor_board_1,1685658435922511000,15582,27765
Sensor_board_1,1685658435944649000,52479,11605
Sensor_board_1,1685658435966406000,55299,20002
Sensor_board_1,1685658435988443000,58186,6437
Sensor_board_1,1685658436010666000,35786,49947
Sensor_board_1,1685658436032509000,18859,58139
Sensor_board_1,1685658436055557000,61006,65044
Sensor_board_1,1685658436078408000,45397,29470
Sensor_board_1,1685658436106048000,28305,49437
Sensor_board_1,1685658436127344000,52769,3099
Sensor_board_1,1685658436147450000,33061,55307
Sensor_board_1,1685658436169463000,31256,41259
Sensor_board_1,1685658436191400000,40281,41285
Sensor_board_1,1685658436219622000,28820,29749
Sensor_board_1,1685658436395241000,3189,48505
Sensor_board_1,1685658436426208000,22039,39481
Sensor_board_1,1685658436450690000,14903,62990
Sensor_board_1,1685658436472524000,55012,43810
Sensor_board_1,1685658436494552000,14609,48222
Sensor_board_1,1685658436516636000,26096,24954
